artist,title
-M-,La bonne étoile (Live 2020)
"10,000 Maniacs",Can't Ignore the Train (LP Version)
100 gecs,gec 2 Ü (Remix) [feat. Dorian Electra]
8-Bit Arcade,"The Moon Cave (8-Bit Gorillaz, Asha Puthli, Bobby Womack, Dave Jolicoeur, Jalen Ngonda & Black Thought Emulation)"
9MUSES,Dolls
A Winged Victory For The Sullen,Minuet for a Cheap Piano Number Two
A Winged Victory For The Sullen,Steep Hills of Vicodin Tears
A-Ha,Take on Me (2015 Remaster)
A-Ha,Take On Me (MTV Unplugged)
A-Ha,The Sun Always Shines on T.V. (2015 Remaster)
Aaliyah,If Your Girl Only Knew
Aaliyah,Rock The Boat
ABBA,Don't Shut Me Down
ABBA,I Wonder (Departure)
ABBA,Waterloo (English Version)
Acker Bilk,Stranger On The Shore
Adamski,Killer
Adrianne Lenker,anything
Adriano Celentano,Prisencolinensinainciusol
Air,La femme d'argent
Akiaura,Sleepwalker
Al Di Meola,Double Concerto
Al Di Meola,"Passion, Grace & Fire (Album Version)"
Al Di Meola,Red Moon
Al Green,Let's Stay Together
Al Green,Love and Happiness
Al Green,Simply Beautiful
Al Green,The Lord Will Make a Way
Al Stewart,On the Border  (2001 Remaster)
Al Stewart,Year of the Cat
Alabama 3,Sad Eyed Lady Of The Low Life
Alabama 3,Thank you
Alabama 3,Woke Up This Morning
Albert Hammond,When I'm Gone
Albert King,Born Under A Bad Sign
Alestorm,Captain Morgan`s Revenge
Alestorm,Drink
Alestorm,Keelhauled
Alex Andre,"thanks, my day is ruined"
Alexander Malter,Pärt: Für Alina
Alexander Rybak,Fairytale
Alexandre Tharaud,Gnossienne No.1 - Gnossienne: No. 1
Alfa Mist,All Time (feat. Tawiah)
Alfa Mist,Always Be (feat. Kaya Thomas-Dyke)
Alfa Mist,Brian
Alfa Mist,From East
Alfa Mist,Kyoki
Alfa Mist,Nucleus
Alfa Mist,Roulette
Alfa Mist,You're Not Blind
"Alfa Mist, Kaya Thomas-Dyke",Breathe
Ali Farka Touré,Soukora
Alicia Keys,Fallin' (Album Version)
Alina Baraz,Can I
Alison Krauss,Down To The River To Pray (Live)
Almendra,Plegaria para un Niño Dormido
Alvin Lucier,I Am Sitting in a Room
Alvvays,Belinda Says
Alèmayèhu Eshèté,Tashamanaletch
Ambrosia,Biggest Part of Me (Album Version)
Amigo The Devil,Murder at the Bingo Hall
Amy Macdonald,This Is The Life
Amália Rodrigues,Barco negro
Ana Sofia Varela,Fado Vadio (Má Fama)
Andrew W.K.,Party Hard (Album Version)
Andrés Calamaro,Flaca
Angus & Julia Stone,You're The One That I Want
Anita Baker,Angel (LP Version)
Anita Baker,Caught Up in the Rapture (LP Version)
Anita Baker,Sweet Love
Anna von Hausswolff,Facing Atlas
Annenmaykantereit,Oft gefragt
ANNIE,Heartbeat
ANORAQUE,Ivy
Antonio Campo,I Need You More and More  (Remastered)
Antonio Carlos Jobim,The Girl From Ipanema
Antonio Carlos Jobim,Wave
Aphex Twin,Avril 14th
Aphex Twin,Xtal
Apo Hiking Society,When I Met You
Arctic Monkeys,505
Arctic Monkeys,Dangerous Animals
Arctic Monkeys,Fake Tales Of San Francisco
Arctic Monkeys,No. 1 Party Anthem
Aretha Franklin,Day Dreaming (Album Version)
Aretha Franklin,I Say a Little Prayer
Aretha Franklin,Precious Lord (Take My Hand) (Part One)
Aretha Franklin,Rock Steady (Album Version)
Aretha Franklin,Wholy Holy
Armin van Buuren,Set Me Free
Arvo Pärt,Spiegel im spiegel
Ashley Tisdale,Bop to the Top
Ashra,Kazoo
Ashra,Midnight On Mars
Ashra,Sunrain
Aster Aweke,Tizita
Astor Piazzolla,Milonga Del Angel
Audioslave,Like a Stone
AUN J-Classic Orchestra,Kimi Wo Nosete (Castle in the Sky)
Auringon Lapset,Etäpäivä
Aurora,Cure For Me
Autechre,Gantz Graf
Avril Lavigne,Sk8er Boi
Azam Ali,La Serena
Azawi,Make a Wish
B.B. King,The Thrill Is Gone
B.E.R.,The Night Begins to Shine
Baby Face Willette,At Last
Bad Religion,21st Century (Digital Boy)
Banners,Shine A Light
Barbara Pravi,Voilà
Barbra Streisand,Woman in Love (Album Version)
Barrington Levy,Black Roses
Bauhaus,Ziggy Stardust
Beach House,Bluebird
Beatrice Rana,Libertango (Arr. Yamamoto for Piano 4-Hands)
Bebel Gilberto,Samba Da Benção
Becky Levi and the Nightjars,Wake Me Up
Bee Gees,"Night Fever (From ""Saturday Night Fever"" Soundtrack)"
Beenie Man,Feel It Boy
Belcea Quartet,"Quatuor à cordes n° 4, Sz. 91 - String Quartet No. 4 in C Major, Sz. 91: IV. Allegretto pizzicato"
Belle and Sebastian,The Boy with the Arab Strap
Ben Allison,D.A.V.E.
Ben Böhmer,Breathing
Ben E. King,Stand By Me
Ben Howard,Old Pine (Album Version)
Ben Howard,The Wolves (Album Version)
Benny Goodman,Sing Sing Sing (With A Swing) (live)
Benny Sings,Rolled Up
Benny Sings,Sailing
Berlin,Take My Breath Away
Bernard Purdie,Cool Down
Bert Kaempfert,A Swingin' Safari
Betty Carter,Moonlight in Vermont
BETWEEN FRIENDS,affection
Big Data,Put Me to Work
Big Thief,Mary
Bikini Kill,Rebel Girl
Bill Callahan,Riding For The Feeling
Bill Evans,Peace Piece (Album Version)
Bill Evans,Waltz for Debby
Bill Evans Trio,My Foolish Heart
Bill Evans Trio,Nardis
Bill Monroe & His Blue Grass Boys,Blue Moon Of Kentucky
Bill Withers,Ain't No Sunshine (Album Version)
Bill Withers,Lean on Me
Bill Withers,Use Me
Bill Withers,Who Is He (And What Is He to You)?
Billie Eilish,bad guy
Billie Eilish,Lo Vas A Olvidar
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]"
Billie Eilish,when the party's over
Billy Crystal,"If I Didn't Have You (From ""Monsters, Inc.""/Soundtrack Version)"
Billy Joel,Get It Right the First Time (Album Version)
Billy Joel,Honesty (Album Version)
Billy Joel,Scenes from an Italian Restaurant (Album Version)
Billy Joel,Vienna (Album Version)
Birdmask,Set Me On Fire
Björk,Army Of Me
Björk,Hyperballad
Björk,I’ve Seen It All
Björk,Pagan Poetry
Björk,Unravel
Björk,Venus As A Boy (Live)
Black Sabbath,Paranoid
Blake Shelton,Austin
Blank & Jones,Get Down  (Rediscovered)
Blind Guardian,Mirror Mirror (Remastered 2007)
blink-182,All The Small Things
Blossom Dearie,It Amazes Me
Blue Öyster Cult,(Don't Fear) The Reaper
Blur,Song 2
Boards of Canada,Blood In The Labyrinth
Boards of Canada,Olson
Boards of Canada,Roygbiv
Bob Dylan,Girl from the North Country
Bob Seger,Night Moves
Bobby Caldwell,Coming Down from Love
Bobby Darin,Beyond the Sea
Bobby McFerrin,Common Threads
Bobby Vinton,Blue Velvet
Bon Jovi,Runaway
Boney M.,Sunny
Bonnie Tyler,"Holding Out for a Hero (From ""Footloose"" Soundtrack)"
Booker T. & The M.G.'s,Green Onions
Booker T. & The M.G.'s,Time Is Tight  (Live)
Booker T. Jones,Everything Is Everything
Boris Sass,The Devil's Trill Sonata
Boy Throb,Finger
Boyz II Men,End Of The Road (Album Version)
Boz Scaggs,JoJo (2023 Remaster)
Boz Scaggs,Lowdown (2023 Remaster)
Boz Scaggs,Simone (2023 Remaster)
Brainstory,Mnemophobia
Brandi Carlile,The Joke
Breakbot,Baby I'm Yours
Breakestra,Back At The Boathouse
Brian Eno,Capsule
Brian Eno,Deep Blue Day (Remastered 2019)
Brian Eno,Fullness Of Wind (Variation On 'The Canon In D Major' By Johann Pachelbel) (Remastered 2004)
