artist,title
-M-,La bonne étoile (Live 2020)
01099,Tempo
"10,000 Maniacs",Can't Ignore the Train (LP Version)
100 gecs,gec 2 Ü (Remix) [feat. Dorian Electra]
102 Boyz,Bier
1petrikov,Good Ole' Days  (Remastered)
2 Unlimited,Tribal Dance
2Raumwohnung,36GRAD
8-Bit Arcade,"The Moon Cave (8-Bit Gorillaz, Asha Puthli, Bobby Womack, Dave Jolicoeur, Jalen Ngonda & Black Thought Emulation)"
9MUSES,Dolls
A Tribe Called Quest,Can I Kick It?
A Winged Victory For The Sullen,Minuet for a Cheap Piano Number Two
A Winged Victory For The Sullen,Steep Hills of Vicodin Tears
A-Ha,Take on Me (2015 Remaster)
A-Ha,Take On Me (MTV Unplugged)
A-Ha,The Sun Always Shines on T.V. (2015 Remaster)
Aaliyah,If Your Girl Only Knew
Aaliyah,Rock The Boat
ABBA,Don't Shut Me Down
ABBA,Fernando
ABBA,I Wonder (Departure)
ABBA,Waterloo (English Version)
Abor & Tynna,Baller
Acker Bilk,Stranger On The Shore
Across Boundaries,Sakura
Adamski,Killer
Adel Tawil,Ist da jemand
Adel Tawil,Lieder (Live)
Adrianne Lenker,anything
Adriano Celentano,Prisencolinensinainciusol
Aerosmith,Adam's Apple
Aerosmith,Big Ten Inch Record
Aerosmith,Dream On
Aerosmith,No More No More
Aerosmith,Round And Round
Aerosmith,Sweet Emotion
Aerosmith,Uncle Salty
Aerosmith,Walk This Way
Aerosmith,You See Me Crying
Afrojack,SummerThing!
Akiaura,Sleepwalker
Al Bowlly,I Can't Get Mississippi Off My Mind
Al Bowlly,"Midnight, The Stars And You"
Al Di Meola,Double Concerto
Al Di Meola,"Passion, Grace & Fire (Album Version)"
Al Di Meola,Red Moon
Al Green,The Lord Will Make a Way
Al Stewart,Year of the Cat
Alabama 3,Sad Eyed Lady Of The Low Life
Alabama 3,Thank you
Alabama 3,Woke Up This Morning
Albert Hammond,When I'm Gone
Albert King,Born Under A Bad Sign
Alcazar,Crying at the Discoteque (Radio Edit)
Alestorm,Captain Morgan`s Revenge
Alestorm,Drink
Alestorm,Keelhauled
Alex Andre,"thanks, my day is ruined"
Alexander Malter,Pärt: Für Alina
Alexander Marcus,Hundi
Alexander Rybak,Fairytale
Alexandra Căpitănescu,Choke Me
Ali Farka Touré,Soukora
Alina Baraz,Can I
Alison Krauss,Down To The River To Pray (Live)
Alligatoah,Beinebrechen
Alligatoah,Willst du
Almendra,Plegaria para un Niño Dormido
Alpenbrass Tirol,Böhmischer Traum
Alt-J,Breezeblocks
Alvin Lucier,I Am Sitting in a Room
Alvvays,Belinda Says
Alèmayèhu Eshèté,Tashamanaletch
Amadeus Quartet,Deutsche Nationalhymne
Ambrosia,Biggest Part of Me (Album Version)
Amigo The Devil,Murder at the Bingo Hall
Amy Macdonald,This Is The Life
Amália Rodrigues,Barco negro
Ana Sofia Varela,Fado Vadio (Má Fama)
Andrew W.K.,Party Hard (Album Version)
Andrés Calamaro,Flaca
Angus & Julia Stone,You're The One That I Want
Anime Allstars,Das Geheimnis der Dragonballs (Dragonball)
